"filename","restoration_type","species_annotation_codes","scientific_name","common_name","bout","song","call","begin_time_in_s","end_time_in_s","low_freq_in_Hz","high_freq_in_Hz","peak_freq_in_Hz","center_freq_in_Hz","delta_freq_in_Hz","BW_90_in_Hz","delta_time_in_s","dur_90_in_s","min_amp","max_amp","peak_amp","file_offset"
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 1",0,1,46.50556266,46.90828796,5040.9,9412.6,8156.25,7593.75,4371.747,3562.5,0.4027,0.32,-2826,2907,2907,46.50556266
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 2",0,1,48.41386103,48.83517366,4505.6,9189.6,7500,7406.25,4684.015,3375,0.4213,0.3093,-6082,6014,6082,48.41386103
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 3",0,1,49.22550742,49.72116934,5710,9457.2,8062.5,7875,3747.212,3375,0.4957,0.4267,-863,953,953,49.22550742
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 1",0,1,50.08054506,50.58240275,5977.7,9278.8,6656.25,7312.5,3301.115,2812.5,0.5019,0.432,-661,687,687,50.08054506
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 2",0,1,51.3568745,52.74472786,4371.7,9903.3,7500,7218.75,5531.599,4218.75,1.3879,1.184,-2361,2671,2671,51.3568745
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 3",0,1,53.22799823,54.60965582,4817.8,9858.7,7125,7218.75,5040.892,3468.75,1.3817,1.072,-4504,4227,4504,53.22799823
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 4",0,1,57.33579637,58.0173315,5710,9323.4,6937.5,7500,3613.383,3093.75,0.6815,0.608,-2418,2424,2424,57.33579637
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 5",0,1,58.45103568,58.81658634,5754.6,9011.2,8062.5,7500,3256.506,2718.75,0.3656,0.304,-1427,1469,1469,58.45103568
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 6",0,1,59.50431725,59.99997917,5754.6,9145,8156.25,7500,3390.335,2906.25,0.4957,0.4693,-1219,1255,1255,59.50431725
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 1",0,1,60.03717464,61.01610693,5843.9,9100.4,9000,7781.25,3256.506,2906.25,0.9789,0.848,-3687,3734,3734,60.03717464
"INOA03R_20201217_062000","Active","ABFL","Muscicapa dauurica","Asian Brown Flycatcher","bout 2",0,1,62.52168,63.04832079,5843.9,9278.8,7218.75,7500,3434.944,2812.5,0.5266,0.432,-695,775,775,62.52168
